iter	Passed	Remaining
0	3	347
1	5	264
2	7	234
3	8	214
4	11	226
5	15	247
6	19	257
7	21	248
8	23	236
9	25	232
10	28	232
11	33	242
12	34	232
13	36	223
14	37	214
15	39	209
16	42	208
17	47	214
18	49	210
19	51	205
20	53	200
21	55	197
22	58	196
23	62	197
24	64	192
25	65	187
26	67	182
27	69	179
28	72	176
29	75	177
30	78	175
31	80	171
32	82	167
33	85	165
34	89	165
35	92	164
36	94	160
37	96	157
38	98	153
39	100	150
40	103	149
41	106	146
42	108	143
43	110	140
44	111	136
45	113	133
46	116	131
47	120	130
48	123	128
49	125	125
50	127	122
51	128	119
52	131	116
53	135	115
54	137	112
55	139	109
56	140	106
57	142	103
58	145	100
59	149	99
60	152	97
61	154	94
62	155	91
63	157	88
64	159	85
65	164	84
66	167	82
67	169	79
68	171	77
69	173	74
70	175	71
71	179	69
72	182	67
73	183	64
74	185	61
75	187	59
76	189	56
77	193	54
78	196	52
79	197	49
80	199	46
81	201	44
82	203	41
83	205	39
84	212	37
85	214	34
86	215	32
87	217	29
88	219	27
89	224	24
90	227	22
91	228	19
92	230	17
93	232	14
94	234	12
95	237	9
96	240	7
97	242	4
98	244	2
99	245	0
